,state,zip_code,av_rate
0,california, 92301,$35.00
1,california, 91301,$50.00
2,california, 94501,$50.00
3,california, 94502,$45.00
4,california, 94507,$50.00
5,california, 94706,$45.00
6,california, 91801,$45.00
7,california, 91803,$35.00
8,california, 92656,$75.00
9,california, 91901,$50.00
10,california, 91001,$50.00
11,california, 94503,$40.00
12,california, 92801,$35.00
13,california, 92802,$35.00
14,california, 92804,$45.00
15,california, 92805,$50.00
16,california, 92806,$65.00
17,california, 92807,$45.00
18,california, 92808,$50.00
19,california, 92812,$45.00
20,california, 96007,$35.00
21,california, 94508,$40.00
22,california, 95843,$35.00
23,california, 94509,$40.00
24,california, 94531,$40.00
25,california, 92539,$45.00
26,california, 92307,$35.00
27,california, 92308,$40.00
28,california, 95003,$50.00
29,california, 91006,$45.00
30,california, 91007,$50.00
31,california, 95521,$35.00
32,california, 93420,$45.00
33,california, 90701,$25.00
34,california, 93422,$45.00
35,california, 94027,$70.00
36,california, 95301,$30.00
37,california, 95603,$45.00
38,california, 91702,$40.00
39,california, 93301,$40.00
40,california, 93304,$40.00
41,california, 93305,$45.00
42,california, 93306,$50.00
43,california, 93307,$35.00
44,california, 93308,$40.00
45,california, 93309,$40.00
46,california, 93311,$40.00
47,california, 93312,$45.00
48,california, 93313,$40.00
49,california, 93314,$50.00
50,california, 91706,$40.00
51,california, 92220,$45.00
52,california, 92311,$40.00
53,california, 95524,$50.00
54,california, 92223,$40.00
55,california, 90201,$40.00
56,california, 96008,$40.00
57,california, 90706,$45.00
58,california, 94002,$65.00
59,california, 94920,$55.00
60,california, 95005,$60.00
61,california, 94510,$40.00
62,california, 94702,$50.00
63,california, 94703,$60.00
64,california, 94704,$50.00
65,california, 94705,$45.00
66,california, 94707,$55.00
67,california, 94708,$45.00
68,california, 94709,$60.00
69,california, 94710,$50.00
70,california, 94720,$45.00
71,california, 94511,$35.00
72,california, 90210,$60.00
73,california, 90211,$55.00
74,california, 90212,$75.00
75,california, 92315,$35.00
76,california, 93514,$30.00
77,california, 92316,$40.00
78,california, 95525,$35.00
79,california, 92225,$35.00
80,california, 91902,$45.00
81,california, 92003,$45.00
82,california, 92004,$50.00
83,california, 95006,$65.00
84,california, 93426,$40.00
85,california, 92227,$20.00
86,california, 92821,$45.00
87,california, 94513,$45.00
88,california, 90620,$45.00
89,california, 90621,$40.00
