ranking,World Rank,University,Det.,Country,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1,1,Harvard University,,,1,2,1,1
2,2,Stanford University,,,3,3,2,2
3,3,Massachusetts Institute of Technology,,,2,1,4,8
4,4,University of California Berkeley,,,18,4,3,17
5,5,University of Washington,,,25,5,56,10
6,6,University of Michigan,,,12,8,11,7
7,8,Columbia University New York,,,57,9,7,14
8,8,Cornell University,,,9,6,17,22
9,10,University of Pennsylvania,,,41,12,10,15
10,12,University of California Los Angeles UCLA,,,52,17,9,13
11,13,Yale University,,,74,10,13,20
12,14,University of Wisconsin Madison,,,29,14,30,34
13,15,(2) Johns Hopkins University,,,118,34,41,6
14,16,University of California San Diego,,,120,29,5,19
15,17,University of Minnesota System,,,29,18,20,35
16,19,Duke University,,,48,23,14,21
17,20,(2) Pennsylvania State University,,,20,11,49,47
18,22,Princeton University,,,37,7,15,84
19,23,University of Texas Austin,,,41,16,27,55
20,24,New York University,,,75,24,26,39
21,25,University of Chicago,,,23,20,19,58
22,26,Northwestern University,,,215,33,16,32
23,27,University of North Carolina Chapel Hill,,,101,31,22,42
24,28,University of Illinois Urbana Champaign,,,24,28,50,56
25,30,University of Southern California,,,79,26,23,60
26,31,University of Florida,,,57,27,34,61
27,32,University of California Irvine,,,280,13,25,100
28,34,Ohio State University,,,63,44,70,43
29,35,University of Maryland College Park,,,105,25,40,74
30,36,(2) California Institute of Technology Caltech,,,19,54,35,44
31,37,Purdue University,,,113,22,76,94
32,38,Carnegie Mellon University,,,71,21,36,124
33,39,Michigan State University,,,48,30,38,96
34,41,University of Pittsburgh,,,132,49,53,57
35,42,Washington University Saint Louis,,,129,47,29,62
36,44,Boston University,,,167,43,32,77
37,45,University of Arizona,,,57,32,66,99
38,46,Rutgers The State University of New Jersey,,,193,40,52,80
39,48,University of California San Francisco,,,518,96,21,25
40,51,University of Colorado Boulder,,,182,42,51,88
41,52,Arizona State University,,,109,35,33,113
42,57,Georgia Institute of Technology,,,220,59,46,72
43,59,University of Virginia,,,139,37,67,126
44,60,Texas A&M University,,,195,45,65,114
45,62,Vanderbilt University,,,398,70,43,67
46,64,University of Utah,,,206,55,78,103
47,66,University of California Santa Barbara,,,170,52,39,148
48,70,Emory University,,,563,98,42,70
49,71,Brown University,,,526,58,64,137
50,72,University of Iowa,,,192,67,75,133
51,74,North Carolina State University,,,131,51,109,174
52,76,Indiana University Bloomington,,,272,39,100,213
53,80,Virginia Polytechnic Institute and State University,,,268,60,107,184
54,87,Tufts University,,,149,53,157,243
55,88,University of Rochester,,,543,84,89,172
56,92,City University of New York,,,113,62,124,252
57,92,University of Massachusetts Amherst,,,288,73,94,210
58,94,Iowa State University,,,159,72,165,207
59,97,University of Delaware,,,550,36,113,339
60,101,University of Georgia,,,280,69,98,241
61,105,University of Maryland Baltimore,,,1785,301,171,23
62,106,Oregon State University,,,208,65,142,275
63,106,University of Illinois Chicago,,,641,101,136,168
64,109,University at Buffalo,,,508,77,155,229
65,110,Colorado State University,,,128,68,143,289
66,114,Rice University,,,552,75,81,262
67,118,University of Nebraska Lincoln,,,33,64,234,312
68,120,University of Tennessee Knoxville,,,562,94,189,203
69,121,Florida State University,,,453,81,126,263
70,126,Dartmouth College,,,564,79,134,276
71,127,University of California Riverside,,,71,111,83,248
72,131,University of Miami,,,736,116,111,197
73,132,University of California Santa Cruz,,,227,95,90,271
74,134,University of Kentucky,,,224,91,184,257
75,135,George Washington University,,,665,71,209,281
76,137,University of Connecticut,,,515,108,129,228
77,139,Temple University,,,672,106,103,233
78,144,University of Kansas,,,518,122,177,216
79,144,University of Notre Dame,,,327,90,154,306
80,146,Georgetown University,,,411,63,160,381
81,147,Case Western Reserve University,,,876,145,105,189
82,150,University of South Florida,,,177,83,162,351
83,152,University of New Mexico,,,287,112,181,267
84,158,University of Missouri Columbia,,,574,97,145,334
85,163,University of Cincinnati,,,667,150,163,225
86,165,Washington State University Pullman,,,369,74,210,394
87,171,George Mason University,,,489,61,202,480
88,172,University of Houston,,,613,104,141,360
89,176,University of Alabama Birmingham,,,864,239,178,162
90,177,University of Oregon,,,354,85,151,442
91,181,University of South Carolina,,,636,132,167,299
92,185,Wayne State University,,,813,173,232,239
93,187,Northeastern University,,,800,127,487,288
94,190,University of Oklahoma,,,1052,143,321,290
95,193,Stony Brook University,,,982,269,87,208
96,205,M D Anderson Cancer Center University of Texas,,,3324,478,48,107
97,207,Virginia Commonwealth University,,,898,158,231,317
98,218,Louisiana State University,,,408,130,270,402
99,222,Brigham Young University,,,45,76,307,615
100,224,University of Central Florida,,,630,142,203,395
101,229,Drexel University,,,839,136,284,384
102,231,University of Colorado Denver,,,1075,360,146,192
103,240,Indiana University/Purdue University Indianapolis,,,813,234,361,274
104,247,Georgia State University,,,906,114,225,511
105,248,University of California Davis,,,258,41,7356,53
106,258,Florida International University,,,510,171,281,412
107,259,University of Texas Dallas,,,1264,257,207,320
108,263,Baylor College of Medicine,,,2323,600,62,152
109,278,Oregon Health & Science University,,,1115,466,196,214
110,287,University of Vermont,,,736,156,262,516
111,291,Clemson University,,,1023,154,303,508
112,299,Rensselaer Polytechnic Institute,,,828,139,245,584
113,299,University of Alabama,,,755,165,311,513
114,306,Boston College,,,614,118,243,667
