zip_code,state,population,growth,average_age,income_per_house
30044,Lawrenceville GA,"87,610",9%,32,"$60,427.00"
30043,Lawrenceville GA,"78,946",-1%,34.3,"$71,424.00"
30349,Atlanta GA,"75,615",10%,31.4,"$39,141.00"
30024,Suwanee GA,"69,841",7%,36.9,"$86,581.00"
30096,Duluth GA,"68,716",9%,33.1,"$55,208.00"
30281,Stockbridge GA,"66,699",0%,35,"$54,656.00"
30062,Marietta GA,"64,343",3%,39.5,"$78,768.00"
30135,Douglasville GA,"64,313",3%,36,"$58,113.00"
30022,Alpharetta GA,"63,032",-2%,37.8,"$93,150.00"
30052,Loganville GA,"61,721",3%,35.3,"$57,337.00"
30047,Lilburn GA,"61,239",2%,37.8,"$70,846.00"
30127,Powder Springs GA,"61,049",1%,37.1,"$64,084.00"
30906,Augusta GA,"59,374",2%,33.7,"$33,680.00"
30331,Atlanta GA,"58,302",7%,35,"$36,349.00"
30041,Cumming GA,"57,907",8%,38.5,"$72,331.00"
30040,Cumming GA,"57,752",5%,36.1,"$60,920.00"
30093,Norcross GA,"57,449",7%,28,"$43,484.00"
31907,Columbus GA,"55,910",1%,34.2,"$38,693.00"
30101,Acworth GA,"55,765",2%,36.1,"$66,827.00"
31088,Warner Robins GA,"55,226",9%,33.7,"$47,825.00"
30721,Dalton GA,"55,042",2%,31.6,"$35,590.00"
30066,Marietta GA,"54,698",3%,39.3,"$72,580.00"
30004,Alpharetta GA,"54,422",2%,36.4,"$72,591.00"
30083,Stone Mountain GA,"54,249",7%,32.6,"$44,983.00"
30016,Covington GA,"54,101",5%,32.8,"$49,056.00"
30188,Woodstock GA,"54,083",3%,36.4,"$61,920.00"
30263,Newnan GA,"53,828",1%,35.7,"$45,199.00"
30058,Lithonia GA,"53,616",1%,32.4,"$53,312.00"
30075,Roswell GA,"53,378",1%,41.5,"$88,504.00"
30080,Smyrna GA,"53,051",5%,32.7,"$45,514.00"
30253,Mcdonough GA,"52,686",6%,33.7,"$56,292.00"
31419,Savannah GA,"52,191",2%,31.7,"$42,173.00"
30318,Atlanta GA,"51,339",3%,30.1,"$28,589.00"
30114,Canton GA,"51,285",2%,34.5,"$50,523.00"
30144,Kennesaw GA,"50,953",-2%,30.2,"$60,609.00"
30907,Augusta GA,"50,258",-1%,37.8,"$54,222.00"
30236,Jonesboro GA,"50,159",7%,33.4,"$49,440.00"
30067,Marietta GA,"48,454",6%,32.6,"$49,618.00"
30032,Decatur GA,"48,067",1%,35.6,"$35,785.00"
30518,Buford GA,"47,092",3%,34.7,"$48,609.00"
30157,Dallas GA,"46,446",2%,33.6,"$52,518.00"
30064,Marietta GA,"46,196",0%,40.5,"$67,586.00"
30909,Augusta GA,"45,470",8%,32.8,"$38,947.00"
30134,Douglasville GA,"45,043",3%,33.1,"$46,580.00"
30034,Decatur GA,"44,847",3%,36,"$51,738.00"
30506,Gainesville GA,"44,494",6%,39.6,"$51,847.00"
30039,Snellville GA,"44,334",6%,34.4,"$61,539.00"
30076,Roswell GA,"44,058",3%,34.9,"$69,701.00"
30097,Duluth GA,"43,598",4%,38.5,"$95,468.00"
30606,Athens GA,"42,520",5%,29.7,"$33,092.00"
80013,Aurora CO,"71,494",2%,33.6,"$61,886.00"
80015,Aurora CO,"63,947",2%,34.9,"$71,999.00"
80219,Denver CO,"61,819",0%,30.5,"$36,565.00"
80134,Parker CO,"56,955",3%,35,"$86,356.00"
80634,Greeley CO,"54,044",2%,36.2,"$49,026.00"
80229,Denver CO,"50,662",2%,30,"$43,698.00"
80011,Aurora CO,"49,318",3%,30.8,"$39,053.00"
80020,Broomfield CO,"49,288",4%,36.8,"$68,150.00"
80504,Longmont CO,"49,124",4%,35.7,"$73,151.00"
80525,Fort Collins CO,"48,578",0%,35.5,"$53,422.00"
80012,Aurora CO,"47,831",2%,32.8,"$42,222.00"
80233,Denver CO,"46,332",2%,33,"$54,424.00"
80918,Colorado Springs CO,"45,591",0%,35.1,"$55,692.00"
80016,Aurora CO,"45,509",9%,36.8,"$114,497.00"
80526,Fort Collins CO,"45,121",2%,31.2,"$51,649.00"
80538,Loveland CO,"45,024",2%,40.6,"$51,991.00"
80631,Greeley CO,"44,698",-8%,25.3,"$28,666.00"
80123,Littleton CO,"44,490",0%,40.2,"$63,482.00"
80022,Commerce City CO,"43,939",2%,30.7,"$34,632.00"
80127,Littleton CO,"43,648",2%,40.6,"$82,563.00"
80126,Littleton CO,"40,838",2%,36.9,"$86,327.00"
80501,Longmont CO,"40,111",1%,35.7,"$47,508.00"
80010,Aurora CO,"39,981",0%,29.6,"$32,231.00"
80537,Loveland CO,"39,587",1%,40.4,"$47,964.00"
80239,Denver CO,"39,548",-2%,28.4,"$44,094.00"
80920,Colorado Springs CO,"39,316",1%,36,"$68,678.00"
80014,Aurora CO,"38,301",4%,40.5,"$47,525.00"
80221,Denver CO,"38,243",1%,32.3,"$39,522.00"
80916,Colorado Springs CO,"37,855",8%,27.4,"$39,524.00"
80401,Golden CO,"37,089",-6%,40.3,"$57,975.00"
80906,Colorado Springs CO,"36,424",-3%,38.3,"$44,671.00"
80128,Littleton CO,"36,147",3%,39.6,"$67,115.00"
80003,Arvada CO,"35,967",1%,36,"$52,117.00"
80004,Arvada CO,"35,802",0%,42,"$52,048.00"
80031,Westminster CO,"35,773",5%,37,"$60,962.00"
80017,Aurora CO,"35,595",3%,30.7,"$50,646.00"
80909,Colorado Springs CO,"34,971",-2%,37.6,"$35,041.00"
80227,Denver CO,"34,755",3%,38.4,"$50,816.00"
80210,Denver CO,"33,665",0%,32.8,"$49,953.00"
80601,Brighton CO,"33,624",0%,32.4,"$52,570.00"
80231,Denver CO,"33,519",4%,34.6,"$40,908.00"
80220,Denver CO,"33,436",0%,36.4,"$44,475.00"
80260,Denver CO,"32,395",3%,31,"$37,468.00"
