zip_code,state,population,growth,average_age,income_per_house
55407,Minneapolis MN,"37,918",0%,31,"$37,462.00"
55423,Minneapolis MN,"35,945",1%,36.2,"$45,598.00"
55443,Minneapolis MN,"34,356",5%,33.3,"$62,347.00"
55433,Minneapolis MN,"34,113",1%,36.4,"$52,128.00"
55406,Minneapolis MN,"32,881",2%,37.8,"$40,867.00"
55432,Minneapolis MN,"30,840",2%,38.1,"$48,370.00"
55418,Minneapolis MN,"30,427",3%,36.2,"$41,344.00"
55416,Minneapolis MN,"30,370",4%,36.7,"$55,252.00"
55408,Minneapolis MN,"30,338",1%,29.4,"$34,216.00"
55428,Minneapolis MN,"29,175",0%,36.4,"$43,970.00"
55434,Minneapolis MN,"29,166",1%,36.8,"$54,887.00"
55448,Minneapolis MN,"28,204",1%,37.4,"$60,226.00"
55422,Minneapolis MN,"28,193",1%,40.1,"$51,885.00"
55411,Minneapolis MN,"27,834",1%,26,"$28,434.00"
55421,Minneapolis MN,"27,438",1%,37,"$39,526.00"
55429,Minneapolis MN,"26,836",0%,31.7,"$43,511.00"
55419,Minneapolis MN,"26,469",0%,38.2,"$63,513.00"
55426,Minneapolis MN,"24,999",0%,35.9,"$47,145.00"
55417,Minneapolis MN,"24,963",0%,37.5,"$52,127.00"
55449,Minneapolis MN,"24,854",6%,34.5,"$67,617.00"
55404,Minneapolis MN,"24,852",-9%,29.3,"$20,923.00"
55414,Minneapolis MN,"24,529",-16%,22.2,"$28,426.00"
55427,Minneapolis MN,"23,074",0%,40.5,"$55,685.00"
55412,Minneapolis MN,"22,517",1%,31.6,"$38,818.00"
55420,Minneapolis MN,"22,171",1%,38.8,"$47,295.00"
55430,Minneapolis MN,"21,733",1%,32.4,"$39,620.00"
55447,Minneapolis MN,"21,035",0%,40,"$75,029.00"
55410,Minneapolis MN,"19,795",2%,39.8,"$64,084.00"
55446,Minneapolis MN,"19,633",4%,37.5,"$91,431.00"
55431,Minneapolis MN,"19,087",3%,44.5,"$57,197.00"
55437,Minneapolis MN,"18,070",3%,46,"$58,483.00"
55441,Minneapolis MN,"17,955",0%,39.6,"$63,068.00"
55438,Minneapolis MN,"16,548",1%,46.7,"$70,011.00"
55444,Minneapolis MN,"16,158",3%,33.7,"$65,043.00"
55403,Minneapolis MN,"15,063",0%,33.8,"$30,702.00"
55405,Minneapolis MN,"14,603",-5%,31.1,"$40,368.00"
55436,Minneapolis MN,"13,658",3%,47.1,"$72,361.00"
55442,Minneapolis MN,"13,462",1%,41.8,"$84,451.00"
55413,Minneapolis MN,"12,337",-4%,32.6,"$33,774.00"
55435,Minneapolis MN,"12,286",5%,47.4,"$42,478.00"
55409,Minneapolis MN,"11,711",0%,35.1,"$55,424.00"
55445,Minneapolis MN,"10,257",3%,33.8,"$63,662.00"
55424,Minneapolis MN,"9,905",2%,41.3,"$93,481.00"
55425,Minneapolis MN,"9,484",5%,35.7,"$44,538.00"
55439,Minneapolis MN,"9,121",4%,47.4,"$87,302.00"
55401,Minneapolis MN,"7,097",7%,35,"$40,716.00"
55454,Minneapolis MN,"6,293",-29%,22.4,"$14,360.00"
55415,Minneapolis MN,"1,624",-60%,31.1,"$30,156.00"
55402,Minneapolis MN,319,-15%,33.5,"$30,921.00"
6902,Stamford CT,"62,182",-1%,34.9,"$52,315.00"
6010,Bristol CT,"61,950",2%,40.3,"$47,522.00"
6516,West Haven CT,"53,142",-4%,36.6,"$42,393.00"
6810,Danbury CT,"50,086",1%,34,"$46,116.00"
6606,Bridgeport CT,"47,365",2%,34.4,"$42,798.00"
6511,New Haven CT,"44,992",-19%,28.8,"$29,253.00"
6492,Wallingford CT,"44,294",-2%,43,"$57,308.00"
6457,Middletown CT,"44,058",-8%,37,"$47,162.00"
6082,Enfield CT,"41,562",-7%,40.4,"$52,810.00"
6484,Shelton CT,"40,139",1%,44.4,"$67,292.00"
6460,Milford CT,"38,999",2%,43.4,"$61,183.00"
6106,Hartford CT,"37,814",-5%,29.7,"$24,177.00"
6360,Norwich CT,"37,420",0%,38.2,"$41,557.00"
6790,Torrington CT,"36,830",0%,42.4,"$41,812.00"
6513,New Haven CT,"36,350",-7%,33.2,"$30,804.00"
6611,Trumbull CT,"36,169",0%,43.8,"$79,446.00"
6450,Meriden CT,"35,632",-2%,37.8,"$44,593.00"
6040,Manchester CT,"35,469",0%,37.7,"$49,414.00"
6614,Stratford CT,"33,082",0%,43.7,"$57,489.00"
6053,New Britain CT,"32,408",-7%,32.7,"$37,209.00"
6489,Southington CT,"32,237",0%,43.5,"$59,715.00"
6770,Naugatuck CT,"32,089",0%,38.2,"$51,355.00"
6824,Fairfield CT,"31,932",-6%,39,$0.00
6051,New Britain CT,"30,929",1%,31.2,"$27,282.00"
6111,Newington CT,"30,393",0%,43.7,"$57,118.00"
6066,Vernon Rockville CT,"30,001",2%,40.2,"$47,869.00"
6512,East Haven CT,"29,541",-1%,41.9,"$45,793.00"
6811,Danbury CT,"29,399",-6%,40.3,"$66,979.00"
6708,Waterbury CT,"29,267",0%,37.5,"$42,538.00"
6033,Glastonbury CT,"28,999",0%,42.9,"$77,991.00"
6340,Groton CT,"28,817",-8%,30.2,"$41,666.00"
6854,Norwalk CT,"28,777",-1%,34.1,"$47,171.00"
6095,Windsor CT,"28,630",-1%,43.1,"$64,049.00"
6405,Branford CT,"28,350",1%,47,"$58,009.00"
6114,Hartford CT,"28,047",2%,30.8,"$29,427.00"
6604,Bridgeport CT,"28,014",-8%,30.3,"$31,344.00"
6880,Westport CT,"27,428",2%,44.7,"$120,036.00"
6851,Norwalk CT,"27,355",2%,40.7,"$67,381.00"
6118,East Hartford CT,"27,335",1%,40.2,"$44,666.00"
6109,Wethersfield CT,"27,213",2%,45.2,"$53,289.00"
6776,New Milford CT,"27,169",1%,41.4,"$65,075.00"
6705,Waterbury CT,"27,028",0%,36,"$37,333.00"
6410,Cheshire CT,"26,352",-10%,42.2,"$80,494.00"
6704,Waterbury CT,"25,738",2%,32.5,"$29,916.00"
6514,Hamden CT,"25,623",-2%,37,"$46,699.00"
6074,South Windsor CT,"25,498",0%,43.3,"$74,022.00"
