zip_code,state,population,growth,average_age,income_per_house
89110,Las Vegas NV,"74,141",4%,30.1,"$43,073.00"
89108,Las Vegas NV,"71,343",1%,33.3,"$44,204.00"
89031,North Las Vegas NV,"65,491",7%,32.5,"$59,325.00"
89121,Las Vegas NV,"59,943",-6%,39.1,"$40,542.00"
89115,Las Vegas NV,"58,527",0%,26.9,"$31,370.00"
89117,Las Vegas NV,"55,504",0%,40.3,"$52,328.00"
89030,North Las Vegas NV,"54,133",0%,27.7,"$31,306.00"
89123,Las Vegas NV,"53,652",-4%,37.8,"$57,630.00"
89052,Henderson NV,"52,078",9%,42.6,"$70,089.00"
89129,Las Vegas NV,"50,346",-1%,36.9,"$63,373.00"
89074,Henderson NV,"49,120",4%,39.7,$0.00
89147,Las Vegas NV,"48,769",-2%,38.5,"$55,295.00"
89502,Reno NV,"46,550",6%,34.2,"$34,237.00"
89122,Las Vegas NV,"46,210",1%,36.3,"$35,431.00"
89103,Las Vegas NV,"46,067",-9%,38,"$36,953.00"
89119,Las Vegas NV,"45,669",-8%,33.2,"$30,609.00"
89148,Las Vegas NV,"44,193",10%,32.1,"$92,707.00"
89032,North Las Vegas NV,"44,030",8%,32.2,"$53,332.00"
89131,Las Vegas NV,"43,798",1%,35.9,"$61,779.00"
89104,Las Vegas NV,"40,635",1%,36.6,"$34,252.00"
89015,Henderson NV,"39,782",1%,38.5,"$50,970.00"
89436,Sparks NV,"39,463",6%,36.2,"$70,327.00"
89101,Las Vegas NV,"38,572",-19%,32.6,"$23,166.00"
89506,Reno NV,"38,403",0%,32.8,"$50,510.00"
89014,Henderson NV,"38,273",3%,35.3,"$56,876.00"
89431,Sparks NV,"37,651",3%,34,"$37,473.00"
89102,Las Vegas NV,"37,426",4%,34.4,"$32,674.00"
89107,Las Vegas NV,"36,934",1%,34.8,"$40,444.00"
89128,Las Vegas NV,"36,439",2%,37.8,"$51,161.00"
89002,Henderson NV,"33,978",6%,35.6,$0.00
89523,Reno NV,"33,663",6%,35,"$59,212.00"
89509,Reno NV,"33,483",0%,43.8,"$54,334.00"
89183,Las Vegas NV,"33,007",-9%,31.2,$0.00
89142,Las Vegas NV,"32,877",-2%,30.9,"$52,897.00"
89139,Las Vegas NV,"32,485",6%,31.5,"$74,706.00"
89081,North Las Vegas NV,"31,783",6%,28.5,$0.00
89130,Las Vegas NV,"31,574",-4%,39.9,"$60,129.00"
89149,Las Vegas NV,"31,075",0%,34.6,"$74,482.00"
89012,Henderson NV,"30,529",4%,41.2,"$62,261.00"
89178,Las Vegas NV,"30,227",8%,31.1,$0.00
89106,Las Vegas NV,"28,351",9%,31.2,"$28,527.00"
89156,Las Vegas NV,"27,227",-2%,32.3,"$46,543.00"
89521,Reno NV,"26,835",4%,37.3,$0.00
89141,Las Vegas NV,"26,300",4%,32.8,"$108,579.00"
89135,Las Vegas NV,"26,231",7%,43,"$62,629.00"
89511,Reno NV,"26,224",4%,45.8,"$63,279.00"
89434,Sparks NV,"25,671",0%,38.6,"$51,054.00"
89503,Reno NV,"25,157",-10%,31.6,"$38,913.00"
89512,Reno NV,"25,139",-1%,30.4,"$28,726.00"
89406,Fallon NV,"24,882",0%,39,"$40,815.00"
89134,Las Vegas NV,"24,435",1%,62.7,"$59,486.00"
89701,Carson City NV,"24,165",-14%,40.2,"$43,101.00"
89145,Las Vegas NV,"24,000",3%,40.2,"$54,320.00"
89084,North Las Vegas NV,"23,998",9%,34.5,$0.00
89113,Las Vegas NV,"23,877",0%,36.3,"$61,057.00"
89120,Las Vegas NV,"23,251",0%,40.1,"$51,449.00"
89801,Elko NV,"22,105",-5%,32.1,"$48,656.00"
89169,Las Vegas NV,"21,612",-7%,35.4,$0.00
89011,Henderson NV,"20,689",5%,35.4,"$105,371.00"
89433,Sun Valley NV,"20,304",0%,33.8,"$41,830.00"
89706,Carson City NV,"20,229",3%,39.2,"$36,891.00"
89144,Las Vegas NV,"19,925",6%,39.8,"$70,136.00"
89146,Las Vegas NV,"19,319",1%,38.3,"$44,820.00"
89048,Pahrump NV,"19,183",-10%,49.3,"$34,856.00"
89408,Fernley NV,"18,949",-3%,36.3,"$44,581.00"
89118,Las Vegas NV,"18,498",-4%,37.7,"$42,067.00"
8701,Lakewood NJ,"93,320",0%,23.9,"$35,647.00"
7055,Passaic NJ,"69,236",0%,29.2,"$33,633.00"
8753,Toms River NJ,"67,745",6%,41.1,"$56,526.00"
7087,Union City NJ,"62,795",-5%,33.9,"$33,132.00"
7093,West New York NJ,"59,416",-2%,35.1,"$34,745.00"
7002,Bayonne NJ,"58,773",-7%,38.4,"$41,566.00"
7305,Jersey City NJ,"56,230",-6%,34.7,"$38,169.00"
8527,Jackson NJ,"56,033",2%,41.6,"$65,198.00"
7728,Freehold NJ,"55,373",-1%,40,"$65,399.00"
7047,North Bergen NJ,"54,802",-10%,37.1,"$40,844.00"
7111,Irvington NJ,"52,609",-2%,34,"$36,590.00"
7470,Wayne NJ,"52,251",-4%,42.8,"$83,651.00"
7083,Union NJ,"51,580",-2%,39.6,"$60,487.00"
8081,Sicklerville NJ,"51,369",1%,35.3,"$61,366.00"
8873,Somerset NJ,"50,718",1%,38.7,"$68,047.00"
7030,Hoboken NJ,"50,463",0%,31.2,"$62,550.00"
8854,Piscataway NJ,"50,254",-11%,33,"$68,709.00"
8831,Monroe Township NJ,"49,833",8%,49.8,"$54,685.00"
7306,Jersey City NJ,"48,993",-7%,33.1,"$34,808.00"
8861,Perth Amboy NJ,"48,592",-9%,32.6,"$38,188.00"
8021,Clementon NJ,"48,206",6%,35.2,"$41,160.00"
7104,Newark NJ,"47,818",-5%,32.1,"$28,262.00"
8816,East Brunswick NJ,"46,943",1%,42.4,"$75,891.00"
8053,Marlton NJ,"46,842",2%,40.5,"$66,642.00"
8817,Edison NJ,"46,656",4%,35.4,"$63,980.00"
7052,West Orange NJ,"46,256",0%,40.6,"$69,115.00"
8901,New Brunswick NJ,"46,213",-19%,23.3,"$36,048.00"
