zip_code,state,population,growth,average_age,income_per_house
97007,Beaverton OR,"68,484",2%,35.3,"$59,280.00"
97006,Beaverton OR,"65,863",4%,32.1,"$51,303.00"
97701,Bend OR,"61,949",4%,38.5,"$43,330.00"
97229,Portland OR,"60,347",3%,37.7,"$70,082.00"
97045,Oregon City OR,"51,145",0%,40,"$50,888.00"
97402,Eugene OR,"50,900",1%,34.9,"$32,621.00"
97301,Salem OR,"50,266",-6%,31.4,"$36,402.00"
97124,Hillsboro OR,"50,144",3%,33,"$55,051.00"
97206,Portland OR,"47,707",0%,35.8,"$38,040.00"
97223,Portland OR,"46,935",0%,36.9,"$52,527.00"
97504,Medford OR,"45,324",1%,42.5,"$43,891.00"
97123,Hillsboro OR,"45,017",1%,33.3,"$50,622.00"
97405,Eugene OR,"43,604",-2%,42.5,"$44,776.00"
97702,Bend OR,"42,700",4%,39.4,"$44,141.00"
97501,Medford OR,"42,273",0%,36.2,"$30,098.00"
97080,Gresham OR,"41,430",1%,36.3,"$56,742.00"
97330,Corvallis OR,"40,890",-1%,31.3,"$40,251.00"
97305,Salem OR,"40,727",1%,31.4,"$36,325.00"
97233,Portland OR,"39,755",0%,30.8,"$35,291.00"
97303,Salem OR,"39,212",1%,35.6,"$39,140.00"
97401,Eugene OR,"38,972",-3%,28.6,"$29,280.00"
97230,Portland OR,"38,191",-4%,38,"$41,262.00"
97219,Portland OR,"37,907",-2%,38.5,"$58,461.00"
97236,Portland OR,"37,854",2%,33.3,"$43,515.00"
97202,Portland OR,"37,640",-2%,35.7,"$39,879.00"
97030,Gresham OR,"37,492",2%,33.5,"$39,923.00"
97302,Salem OR,"37,250",0%,40.2,"$43,496.00"
97478,Springfield OR,"36,496",-1%,37.8,"$41,640.00"
97477,Springfield OR,"36,445",-1%,36.3,"$31,673.00"
97222,Portland OR,"35,554",1%,39.3,"$40,899.00"
97756,Redmond OR,"35,138",4%,37.8,"$39,314.00"
97128,Mcminnville OR,"35,028",-3%,35.5,"$40,452.00"
97322,Albany OR,"34,259",0%,35.1,$0.00
97266,Portland OR,"33,533",0%,34,"$37,234.00"
97527,Grants Pass OR,"32,453",-3%,47.1,"$31,901.00"
97224,Portland OR,"32,450",4%,41.6,"$46,558.00"
97217,Portland OR,"32,385",2%,36.3,"$38,442.00"
97526,Grants Pass OR,"32,106",-6%,45.6,"$32,260.00"
97404,Eugene OR,"31,941",0%,39.6,"$45,981.00"
97211,Portland OR,"30,900",-1%,35.3,"$40,582.00"
