19120,Philadelphia PA,"68,266",0%,30.2,"$31,588.00"
19124,Philadelphia PA,"68,029",1%,29.2,"$28,574.00"
19143,Philadelphia PA,"65,016",0%,34.5,"$25,826.00"
19111,Philadelphia PA,"62,657",0%,36.1,"$37,996.00"
17603,Lancaster PA,"61,644",0%,35.3,"$38,086.00"
19134,Philadelphia PA,"61,387",1%,28.8,"$20,903.00"
15601,Greensburg PA,"57,353",-3%,44.6,"$39,939.00"
19020,Bensalem PA,"56,230",1%,39.5,"$50,305.00"
19149,Philadelphia PA,"54,739",0%,32.3,"$37,210.00"
19446,Lansdale PA,"54,562",-1%,41.8,"$60,797.00"
19140,Philadelphia PA,"54,073",0%,31.6,"$20,077.00"
19067,Morrisville PA,"53,854",4%,42,"$69,894.00"
19148,Philadelphia PA,"51,561",3%,36.2,"$27,097.00"
17331,Hanover PA,"51,303",1%,41.3,"$43,999.00"
19382,West Chester PA,"51,077",-2%,37,"$70,832.00"
19320,Coatesville PA,"49,796",-5%,37.5,"$49,649.00"
18102,Allentown PA,"49,503",0%,29.4,"$26,219.00"
17601,Lancaster PA,"49,387",0%,43.2,"$54,470.00"
19380,West Chester PA,"48,513",-2%,41,"$68,129.00"
19145,Philadelphia PA,"48,468",2%,35.9,"$26,655.00"
15301,Washington PA,"48,457",-1%,44,"$34,625.00"
17602,Lancaster PA,"48,431",-8%,35.2,"$36,193.00"
19335,Downingtown PA,"48,141",2%,39.2,"$72,662.00"
19464,Pottstown PA,"47,239",3%,37.5,"$43,631.00"
18103,Allentown PA,"46,749",3%,39.3,"$38,738.00"
15642,Irwin PA,"45,964",1%,44.5,"$44,765.00"
19131,Philadelphia PA,"44,717",3%,36.4,"$30,099.00"
19403,Norristown PA,"43,340",-2%,41.9,"$61,712.00"
17701,Williamsport PA,"43,295",-3%,36.5,"$29,925.00"
19144,Philadelphia PA,"43,166",0%,35.7,"$27,436.00"
15237,Pittsburgh PA,"42,216",0%,44.3,"$55,016.00"
19082,Upper Darby PA,"42,048",2%,32.3,"$34,926.00"
16001,Butler PA,"41,859",3%,43.3,"$35,252.00"
