zip_code,state,population,growth,average_age,income_per_house
53215,Milwaukee WI,"63,585",4%,28.5,"$32,649.00"
53511,Beloit WI,"48,784",0%,36.3,"$39,454.00"
53209,Milwaukee WI,"47,868",1%,34,"$32,980.00"
53711,Madison WI,"47,431",3%,36.6,"$56,672.00"
54601,La Crosse WI,"45,848",-7%,30.3,"$34,771.00"
53704,Madison WI,"44,751",1%,35.7,"$42,958.00"
54956,Neenah WI,"43,731",2%,38.4,"$50,618.00"
53081,Sheboygan WI,"43,427",0%,36.9,"$39,980.00"
54703,Eau Claire WI,"43,337",2%,32,"$38,068.00"
53204,Milwaukee WI,"42,105",0%,26.6,"$24,631.00"
54915,Appleton WI,"42,075",0%,35.9,"$53,287.00"
53218,Milwaukee WI,"42,074",3%,28.6,"$32,968.00"
54115,De Pere WI,"42,009",1%,35,"$53,607.00"
54935,Fond Du Lac WI,"41,265",0%,37.2,"$43,295.00"
54220,Manitowoc WI,"40,011",0%,42.8,"$40,337.00"
53221,Milwaukee WI,"37,920",0%,38.9,"$41,032.00"
54313,Green Bay WI,"37,452",4%,40.4,"$63,633.00"
53590,Sun Prairie WI,"37,051",2%,34.6,"$55,456.00"
53051,Menomonee Falls WI,"36,583",2%,43.3,"$57,986.00"
54701,Eau Claire WI,"36,392",-6%,31.7,"$40,331.00"
53207,Milwaukee WI,"36,280",3%,36.3,"$39,614.00"
53214,Milwaukee WI,"35,831",3%,35.7,"$38,162.00"
53188,Waukesha WI,"35,288",0%,37.7,"$55,918.00"
53154,Oak Creek WI,"34,926",1%,37.4,"$53,870.00"
53066,Oconomowoc WI,"34,720",2%,41.5,"$60,998.00"
53219,Milwaukee WI,"34,690",2%,38.2,"$40,598.00"
53402,Racine WI,"34,638",4%,39.1,"$51,900.00"
53211,Milwaukee WI,"33,766",-4%,26.1,"$43,109.00"
54311,Green Bay WI,"33,624",0%,34.4,"$55,928.00"
53216,Milwaukee WI,"33,344",3%,32.8,"$32,126.00"
53142,Kenosha WI,"32,684",0%,36.9,"$53,824.00"
53132,Franklin WI,"32,618",-6%,41.5,"$64,822.00"
53151,New Berlin WI,"32,568",1%,44.8,"$67,946.00"
53208,Milwaukee WI,"32,261",3%,29.9,"$26,436.00"
53186,Waukesha WI,"32,226",-4%,34.9,"$48,936.00"
54901,Oshkosh WI,"32,094",-17%,29.8,"$36,324.00"
54729,Chippewa Falls WI,"32,030",1%,39.8,"$40,911.00"
54401,Wausau WI,"31,637",2%,39.4,"$44,070.00"
53212,Milwaukee WI,"31,536",3%,28.9,"$23,523.00"
54302,Green Bay WI,"31,315",2%,31.6,"$35,855.00"
54016,Hudson WI,"31,169",3%,37.7,"$67,719.00"
53546,Janesville WI,"30,975",1%,38.4,"$51,908.00"
54880,Superior WI,"30,408",-1%,37,"$33,149.00"
54914,Appleton WI,"30,360",0%,36,"$46,865.00"
53217,Milwaukee WI,"29,891",2%,42.9,"$74,572.00"
53719,Madison WI,"29,817",4%,31.1,"$55,006.00"
53105,Burlington WI,"29,512",0%,41.4,"$52,251.00"
53210,Milwaukee WI,"29,181",3%,28.8,"$32,340.00"
53206,Milwaukee WI,"28,907",2%,28.3,"$20,787.00"
53223,Milwaukee WI,"28,663",-1%,38.6,"$42,970.00"
54304,Green Bay WI,"28,651",1%,38.8,"$42,396.00"
53140,Kenosha WI,"28,632",-4%,32.8,"$34,909.00"
53403,Racine WI,"28,106",2%,34.2,"$36,670.00"
53095,West Bend WI,"27,595",1%,41.9,"$52,840.00"
40475,Richmond KY,"54,701",-2%,32.5,"$32,382.00"
42101,Bowling Green KY,"51,841",-7%,28.6,"$27,664.00"
41042,Florence KY,"51,813",3%,35.8,"$47,441.00"
40601,Frankfort KY,"50,450",1%,40,"$40,210.00"
42701,Elizabethtown KY,"49,305",2%,37.8,"$39,466.00"
40214,Louisville KY,"47,343",4%,36.2,"$34,385.00"
40216,Louisville KY,"43,454",6%,39.5,"$35,142.00"
42301,Owensboro KY,"42,591",0%,38.7,"$34,733.00"
40324,Georgetown KY,"41,888",1%,34.2,"$48,322.00"
40356,Nicholasville KY,"41,682",2%,36.4,"$41,247.00"
42240,Hopkinsville KY,"41,630",-2%,37.3,"$32,343.00"
41017,Ft Mitchell KY,"39,870",2%,38.7,"$58,004.00"
40299,Louisville KY,"39,745",3%,39.3,"$55,884.00"
42303,Owensboro KY,"39,205",0%,38.2,"$36,098.00"
40219,Louisville KY,"38,626",1%,36.7,"$37,078.00"
42420,Henderson KY,"38,201",0%,39.5,"$34,795.00"
40272,Louisville KY,"37,829",1%,38.3,"$41,245.00"
40291,Louisville KY,"37,772",6%,37.7,"$53,250.00"
40229,Louisville KY,"37,629",2%,34.8,"$44,068.00"
40517,Lexington KY,"37,495",6%,30.8,"$35,806.00"
40391,Winchester KY,"36,271",2%,39.7,"$39,830.00"
40515,Lexington KY,"35,580",5%,35.3,"$55,195.00"
40509,Lexington KY,"35,353",8%,33.4,"$48,804.00"
40220,Louisville KY,"34,176",3%,40.3,"$47,288.00"
40165,Shepherdsville KY,"33,770",3%,38.4,"$44,895.00"
40218,Louisville KY,"31,919",0%,34.8,"$32,984.00"
40207,Louisville KY,"31,543",5%,42.1,"$54,050.00"
42141,Glasgow KY,"31,011",2%,40.1,"$32,086.00"
40245,Louisville KY,"30,831",2%,37.9,"$80,634.00"
42104,Bowling Green KY,"30,778",3%,34.8,"$43,456.00"
42003,Paducah KY,"30,596",2%,41.4,"$29,350.00"
40511,Lexington KY,"30,426",-4%,33.2,"$37,226.00"
40241,Louisville KY,"30,127",3%,40.5,"$67,211.00"
40701,Corbin KY,"30,012",1%,39.5,"$25,137.00"
